epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.629,0.92567,3.94098,1.46528,0.31811,0.32068,0.2413,0.1689,1.00698,2.75571,1.61068,0.00332812,0.00332812,0.00332812
2,247.932,0.87739,2.58344,1.39665,0.36923,0.35585,0.32923,0.22235,1.05289,2.39765,1.68146,0.00659551,0.00659551,0.00659551
3,366.822,0.9456,2.48798,1.44206,0.35732,0.35214,0.31542,0.20449,1.16944,2.59078,1.79382,0.00979689,0.00979689,0.00979689
4,484.868,1.01561,2.5159,1.48247,0.3254,0.37783,0.32886,0.21287,1.23547,2.42639,1.84332,0.009703,0.009703,0.009703
5,602.905,0.99548,2.34759,1.46305,0.49015,0.45988,0.45175,0.30218,1.11911,1.99364,1.7411,0.009604,0.009604,0.009604
6,721.195,0.96285,2.20459,1.43505,0.45388,0.45932,0.46569,0.31769,1.1078,1.91091,1.6989,0.009505,0.009505,0.009505
7,840.245,0.93496,2.08675,1.41787,0.45605,0.51224,0.50962,0.3568,1.07437,1.83239,1.65404,0.009406,0.009406,0.009406
8,958.148,0.92469,2.01213,1.40595,0.50969,0.51075,0.51993,0.36701,1.01024,1.77119,1.61036,0.009307,0.009307,0.009307
9,1077.18,0.91195,1.91536,1.39228,0.53825,0.56693,0.59633,0.41521,1.01555,1.5765,1.60581,0.009208,0.009208,0.009208
10,1196.27,0.89396,1.85649,1.37961,0.53085,0.56709,0.59991,0.42814,0.98932,1.57184,1.56744,0.009109,0.009109,0.009109
11,1316.05,0.87954,1.79405,1.36891,0.56249,0.60518,0.63526,0.45619,0.99709,1.49959,1.57464,0.00901,0.00901,0.00901
12,1436.4,0.86979,1.7385,1.36533,0.59786,0.58813,0.64244,0.46214,0.99561,1.45908,1.56864,0.008911,0.008911,0.008911
13,1556.63,0.86112,1.70314,1.353,0.58735,0.64261,0.66871,0.47765,0.99416,1.38286,1.56873,0.008812,0.008812,0.008812
14,1674.67,0.85638,1.66382,1.35166,0.62985,0.6218,0.69155,0.49587,0.9928,1.37423,1.56656,0.008713,0.008713,0.008713
15,1793.35,0.84962,1.6093,1.35052,0.59192,0.6752,0.6984,0.50229,0.97615,1.33916,1.5463,0.008614,0.008614,0.008614
16,1912.07,0.84374,1.58009,1.34578,0.68324,0.62995,0.71148,0.521,0.94668,1.26941,1.50508,0.008515,0.008515,0.008515
17,2030.24,0.83007,1.53415,1.33506,0.6782,0.62601,0.71317,0.5199,0.97752,1.25728,1.5344,0.008416,0.008416,0.008416
18,2146.8,0.82229,1.49891,1.32648,0.65928,0.66821,0.74023,0.53974,0.94587,1.2282,1.50588,0.008317,0.008317,0.008317
19,2261.76,0.81093,1.45778,1.31573,0.66791,0.67438,0.73861,0.53992,0.95611,1.19642,1.51848,0.008218,0.008218,0.008218
20,2376.69,0.80206,1.42354,1.31348,0.64575,0.72782,0.75739,0.56624,0.91197,1.16039,1.47884,0.008119,0.008119,0.008119
21,2491.72,0.79375,1.39432,1.30657,0.71317,0.68424,0.75593,0.55462,0.94768,1.14622,1.50829,0.00802,0.00802,0.00802
22,2606.86,0.79928,1.37902,1.30769,0.7103,0.68935,0.76062,0.5579,0.93794,1.12924,1.50497,0.007921,0.007921,0.007921
23,2721.45,0.79241,1.3421,1.30184,0.70469,0.68763,0.77136,0.57256,0.92666,1.09759,1.48627,0.007822,0.007822,0.007822
24,2836.09,0.78912,1.33699,1.30337,0.70739,0.66703,0.76185,0.55956,0.93641,1.11734,1.50494,0.007723,0.007723,0.007723
25,2954.61,0.78595,1.29555,1.29796,0.68292,0.71937,0.77359,0.57849,0.91409,1.08194,1.48122,0.007624,0.007624,0.007624
26,3072.93,0.77667,1.28617,1.29493,0.72139,0.70219,0.776,0.57553,0.91218,1.07216,1.47462,0.007525,0.007525,0.007525
27,3190.96,0.77223,1.26055,1.29094,0.72888,0.74069,0.7861,0.58483,0.90208,1.04811,1.46625,0.007426,0.007426,0.007426
28,3310.67,0.75973,1.22962,1.27641,0.74413,0.72169,0.78397,0.58291,0.90529,1.04587,1.47928,0.007327,0.007327,0.007327
29,3430.81,0.7514,1.20909,1.27179,0.72331,0.72285,0.78084,0.58808,0.90987,1.06373,1.48018,0.007228,0.007228,0.007228
30,3548.55,0.75247,1.20417,1.27575,0.73039,0.70816,0.77906,0.58406,0.91115,1.03093,1.471,0.007129,0.007129,0.007129
31,3668.19,0.74833,1.17714,1.27043,0.7273,0.71555,0.78742,0.59429,0.89129,1.02478,1.4569,0.00703,0.00703,0.00703
32,3787.82,0.74894,1.16573,1.27107,0.75594,0.70461,0.7907,0.59146,0.91534,1.02986,1.48874,0.006931,0.006931,0.006931
33,3907.17,0.73497,1.14171,1.26034,0.77439,0.70309,0.79767,0.60304,0.88133,1.02646,1.46042,0.006832,0.006832,0.006832
34,4027.19,0.73241,1.12482,1.25883,0.73047,0.74561,0.80301,0.60045,0.90407,0.97581,1.47438,0.006733,0.006733,0.006733
35,4146.77,0.72773,1.10717,1.25652,0.72333,0.7579,0.80656,0.60343,0.90038,0.97955,1.46327,0.006634,0.006634,0.006634
36,4266.6,0.72691,1.09515,1.25165,0.77678,0.74749,0.81851,0.61362,0.89854,0.95052,1.46482,0.006535,0.006535,0.006535
37,4386.24,0.72391,1.07749,1.2533,0.72339,0.77894,0.8099,0.61072,0.89164,0.95972,1.46466,0.006436,0.006436,0.006436
38,4505.79,0.71588,1.06176,1.24473,0.76304,0.73282,0.80924,0.61038,0.89613,0.96378,1.4729,0.006337,0.006337,0.006337
39,4624.86,0.71282,1.04233,1.24172,0.73272,0.76935,0.81205,0.60775,0.91326,0.94402,1.48455,0.006238,0.006238,0.006238
40,4742.75,0.70347,1.02519,1.23582,0.77761,0.7364,0.82067,0.62248,0.89298,0.95155,1.46392,0.006139,0.006139,0.006139
41,4862.26,0.69973,1.01105,1.22995,0.77568,0.75364,0.81964,0.62164,0.9018,0.95,1.47901,0.00604,0.00604,0.00604
42,4982.1,0.69776,1.00292,1.23079,0.73633,0.76891,0.80896,0.6158,0.8859,0.95833,1.45587,0.005941,0.005941,0.005941
43,5101.11,0.69329,0.98423,1.22721,0.74256,0.76502,0.81642,0.6211,0.89034,0.92095,1.47366,0.005842,0.005842,0.005842
44,5219.74,0.68087,0.97823,1.22216,0.74771,0.75613,0.81426,0.62188,0.88772,0.92515,1.46755,0.005743,0.005743,0.005743
45,5339.29,0.68523,0.9498,1.21888,0.74105,0.77741,0.81736,0.62009,0.89876,0.934,1.48394,0.005644,0.005644,0.005644
46,5457.44,0.68055,0.95024,1.21778,0.74984,0.78229,0.81871,0.61808,0.90181,0.92207,1.48187,0.005545,0.005545,0.005545
47,5577.36,0.67413,0.92386,1.21437,0.77506,0.76704,0.82163,0.62201,0.89652,0.93352,1.48386,0.005446,0.005446,0.005446
48,5696.49,0.67513,0.92584,1.21516,0.77112,0.76047,0.82274,0.62411,0.88717,0.92863,1.47176,0.005347,0.005347,0.005347
49,5814.42,0.66909,0.91016,1.20603,0.75616,0.77991,0.81858,0.62236,0.89001,0.92684,1.47591,0.005248,0.005248,0.005248
50,5932.69,0.66781,0.89902,1.20497,0.77826,0.75246,0.82354,0.62344,0.90927,0.9258,1.49987,0.005149,0.005149,0.005149
51,6050.33,0.6627,0.88957,1.20289,0.78503,0.75576,0.8222,0.62648,0.898,0.9201,1.48077,0.00505,0.00505,0.00505
52,6168.03,0.65691,0.87972,1.19557,0.74732,0.76362,0.81846,0.62306,0.89663,0.92769,1.48549,0.004951,0.004951,0.004951
53,6287.55,0.65214,0.87817,1.19456,0.75138,0.77199,0.81436,0.61559,0.89225,0.93345,1.4879,0.004852,0.004852,0.004852
54,6406.59,0.64416,0.84489,1.18651,0.8016,0.72706,0.81755,0.61719,0.89206,0.9253,1.49464,0.004753,0.004753,0.004753
55,6524.33,0.64101,0.84882,1.18326,0.74597,0.78357,0.82177,0.62073,0.89883,0.9083,1.5085,0.004654,0.004654,0.004654
56,6642.95,0.63289,0.82739,1.17775,0.77843,0.77154,0.82927,0.62611,0.88749,0.91131,1.49263,0.004555,0.004555,0.004555
57,6760.8,0.63254,0.83051,1.18026,0.78036,0.73914,0.82196,0.62451,0.8961,0.92447,1.49684,0.004456,0.004456,0.004456
58,6880.72,0.62511,0.8154,1.17421,0.7645,0.76742,0.82079,0.62128,0.89081,0.91381,1.49496,0.004357,0.004357,0.004357
